item,token,not_sightword,not_decodable,not_decodable_at_grade_level
2701,not,,,
2701,very,,1,
2701,interested,1,,
2701,in,,,
2701,listening,1,1,
2701,to,,,
2701,their,,1,
2701,old,,,
2701,stories,,,1
2701,now,,,
2701,her,,,
2701,class,,,
2701,is,,,
2701,learning,1,1,
2701,about,,,
2701,how,,,
2701,life,1,,
2701,was,,1,
2701,different,1,,
2701,in,,,
2701,the,,,
2701,old,,,
2701,days,,,
2701,she,,,
2701,needs,,,
2701,to,,,
2701,interview,1,,
2701,a,,,
2701,relative,1,,
2701,and,,,
2701,find,,,
2701,out,,,
2701,one,,1,
2701,thing,,,
2701,that,,,
2701,they,,,
2701,needed,,,
2701,daily,1,,
2701,but,,,
2701,that,,,
2701,was,,1,
2701,hard,1,,
2701,to,,,
2701,get,,,
2701,when,,,
2701,she,,,
2701,asks,,,
2701,her,,,
2701,grandfather,1,,
2701,he,,,
2701,says,1,1,
2701,he,,,
2701,doesn't,,1,
2701,want,,,
2701,to,,,
2701,discuss,1,,
2701,the,,,
2701,old,,,
2701,days,,,
2701,but,,,
2701,her,,,
2701,grandmother,1,,
2701,has,,,
2701,lots,,,
